name,price,status,shipping,free_returns,items_sold
"HP X360 11 G6 11.6"" Touchscreen Laptop Core i3 8GB RAM 128GB SSD Windows 11 WiFiOpens in a new window or tab",17978,Excellent - Refurbished ·HP,0,True,301
"Dell Latitude 14"" Laptop Computer Intel i5 Up To 32GB RAM 1TB SSD Windows 11 ProOpens in a new window or tab",26373,Genuine Windows 11 OS! Great Condition! Fast Shipping!,0,True,
Lenovo 11e Yoga Gen 6 Touchscreen 2-in-1 Laptop Intel 4GB RAM 256GB SSD Win 11Opens in a new window or tab,12899,Good - Refurbished ·Lenovo,0,True,455
Dell Latitude Laptop 11.6” HD 8GB RAM 128GB SSD Intel Pentium Silver Win 11 WiFiOpens in a new window or tab,14804,Good - Refurbished ·Dell,0,True,479
"Acer Swift Go 14"" Laptop Intel Core Ultra 7 155H 16GB RAM 1TB SSD RefurbishedOpens in a new window or tab",39999,Certified - Refurbished ·Acer ·1 TB,0,True,3182
"Acer Aspire AI 14"" Touch Laptop Intel Core Ultra 5 16GB RAM 1TB SSD RefurbishedOpens in a new window or tab",39999,Certified - Refurbished ·Acer,0,True,1352
"New ListingHP Elitebook 840 G6 Core i5-8365U @1.60GHz, 16GB , 256GB SSD,  WCam Win 11 CordOpens in a new window or tab",13500,Pre-Owned ·HP ·256 GB,13500,False,19
"Dell Chromebook 3100 (11.6"", Intel Celeron, 4GB RAM, 16GB, ChromeOS)  NO ChargerOpens in a new window or tab",2599,Pre-Owned ·Dell,0,False,922
"HP ProBook X360 11 G6 11.6"" Touchscreen Laptop Core i3 8GB RAM 128GB SSD Win 11Opens in a new window or tab",16736,Good - Refurbished ·HP,0,True,303
"2026 Lenovo IdeaPad Laptop Notebook 15.6"" Intel Processor Up to 20GB RAM 1TB SSDOpens in a new window or tab",28900,✅Free Office 365 ✅8GB|12GB|20GB RAM ✅512GB|1TB SSD,0,True,
"NIMO15.6"" Laptop Intel Pentium Quad Core N100 8GB Memory 128GB SSD FingerprintOpens in a new window or tab",15999,Open Box ·128 GB,0,True,154
"Dell Latitude 7390 13.3"" Touch 2-in-1 Laptop Core i7 16GB RAM 512GB SSD Win 11Opens in a new window or tab",30374,Good - Refurbished ·Dell,0,True,195
"Acer Aspire 3 A315-24PT-R288 15.6"" Laptop Full HD AMD 16GB RAM 1TB SSDOpens in a new window or tab",33999,Certified - Refurbished ·Acer,0,True,177
Dell Latitude 7420 14” FHD Touch Laptop Core i7 16GB RAM 512GB SSD Win 11 ProOpens in a new window or tab,37232,Excellent - Refurbished ·Dell,0,True,50
"Lenovo ThinkPad L13 Yoga Touch Laptop Core i5 13.3"" 8GB RAM 128GB SSD Windows 11Opens in a new window or tab",19698,Good - Refurbished ·Lenovo,0,True,566
Dell Latitude 3120 2-in-1 Touch Laptop Intel Pentium 4GB RAM 128GB SSD Win 11Opens in a new window or tab,12830,Good - Refurbished ·Dell,0,True,1184
"2026 ASUS Vivobook Laptop 16"" Intel i7-1355U, Up to 40GB RAM 2TB SSD, Win 11 ProOpens in a new window or tab",49900,✅16GB|24GB|40GB ✅Fast Shipping ✅Lifetime MS Office 2024,0,True,
15.6 Student Laptop Intel Pentium Quad Core N100 8GB RAM 256GB SSD WiFi 6 Win 11Opens in a new window or tab,17999,Open Box ·256 GB,0,True,56
Acer Chromebook 514 14 NB FHD Intel i3-N305 8GB RAM 512GB SSD RefurbishedOpens in a new window or tab,19999,Certified - Refurbished ·Acer,0,True,1153
"Dell Latitude 5289 2-in-1 12.3"" i5-7600U@2.8GHz, 8GB RAM, 256GB, Win 11 ProOpens in a new window or tab",16999,Pre-Owned ·Dell ·256 GB,0,False,148
"Lenovo - IdeaPad 1 15.6"" Full HD Laptop - AMD Ryzen 5 7520U 2022 - 8GB Memory...Opens in a new window or tab",,Brand New ·Lenovo,0,False,485
"New ListingDell Latitude 5420 14"" Intel i7 16GB Ram 512GB SSD Windows 11 Pro LaptopOpens in a new window or tab",18000,Pre-Owned ·Dell ·512 GB,0,False,
"LENOVO Ideapad 14W, 81MQ, Touchscreen, AMD A6-9220C, 8GB RAM, 256GB, WIN 11 OSOpens in a new window or tab",12400,Pre-Owned ·Lenovo ·256 GB,12400,False,353
"ASUS ROG Ally 7"" 120Hz FHD Touch AMD Ryzen Z1 16GB 512GB SSD W11H Gaming ConsoleOpens in a new window or tab",44999,Certified - Refurbished ·ASUS,0,True,562
"15.6"" FHD Laptop 16GB RAM 512GB SSD Intel Celeron N5095 Win 11 Pro Backlit KBOpens in a new window or tab",14249,Pre-Owned ·Unbranded ·512 GB,0,True,12
"HP 15.6"" FHD Laptop, 6-Core Intel i3 Up to 4.4GHz 32GB RAM & 1TB SSD, Win 11 ProOpens in a new window or tab",36900,Brand New,0,True,
"HP 17.3"" FHD Business Laptop, Intel i7-1355U, 16GB RAM, 2TB StorageOpens in a new window or tab",24500,Brand New ·HP ·2 TB,0,True,
"Dell Latitude 5420 14 inch Laptop, Intel Core i7, 16GB RAM, 256GB SSD, Win11 ProOpens in a new window or tab",29100,Pre-Owned ·Dell,0,True,
"Lenovo ThinkPad L13 Yoga 13"" Touch Laptop Core i5 8GB RAM 256GB SSD Win 11 ProOpens in a new window or tab",21999,Good - Refurbished ·Lenovo,0,True,159
"Samsung Chromebook 11.6"" (32GB SSD, Intel Celeron Processor N4000, 1.10 GHz, 4GBOpens in a new window or tab",23000,Pre-Owned ·Samsung ·32 GB,,False,
"Dell Latitude 5411 14"" Laptop, Intel Core i7, 16GB RAM, 256GB SSD, Win11 Pro. (ROpens in a new window or tab",26600,Pre-Owned ·Dell,0,True,
"Lenovo ThinkPad Yoga 11e Touchscreen 11.6"" Laptop Intel 4GB RAM 256GB SSD Win 11Opens in a new window or tab",10359,Good - Refurbished ·Lenovo,0,True,950
"14"" Lenovo ThinkPad Laptop: Intel i5! 16GB RAM - 512GB SSD! Webcam! Zorin O.S!Opens in a new window or tab",16153,Stop Planned Obsolescence w Zorin OS! 1 Year Warranty!,0,True,197
"Dell Latitude 3189 11.6"" 2-in-1 Touch Laptop Celeron 4GB 64GB SSD Windows 11 !!Opens in a new window or tab",8500,Full Touchscreen  /  Complete with Charger / FAST,0,True,238
"HP Chromebook X360 11 G1 EE N3350 1.1ghz 4GB 32GB 11.6"" Touch 2-in-1 Laptop READOpens in a new window or tab",3800,Pre-Owned ·HP ·32 GB,0,False,133
"Acer Nitro V 15 15.6"" Laptop i5-13420H 16GB RAM 512GB SSD RTX 5050 RefurbishedOpens in a new window or tab",64999,Certified - Refurbished ·Acer,0,True,19
"HP EliteBook 14"" Touchscreen, Core i7‑10710U 3.0GHz, 32GB RAM, 512GB SSD, WIN11POpens in a new window or tab",39999,Excellent - Refurbished ·HP ·512 GB,0,True,
"HP ProBook x360 11 G2 EE 11.6"" Intel Celeron N4000 4GB RAM 32GB | VERY GOOD |Opens in a new window or tab",4999,Very Good - Refurbished ·HP,0,True,54
Dell Latitude 5420 Laptop 14” FHD Intel Core i7 16GB RAM 256GB SSD Windows 11Opens in a new window or tab,28783,Good - Refurbished ·Dell,0,True,204
Dell Latitude 15.6” FHD Laptop Intel Core i7 32GB RAM 512GB SSD Windows 11 ProOpens in a new window or tab,44104,Good - Refurbished ·Dell,0,True,
"Windows 7 PRO Laptop Notebook PC Computer Dual core, 4GB Ram, 250GB HD DVD/CDOpens in a new window or tab",12999,Pre-Owned ·250 GB,0,True,700
"ASUS Vivobook 14"" FHD i5-120U 16GB 1TB SSD WiFi6 Win11 LaptopOpens in a new window or tab",23456,Brand New ·ASUS ·1 TB,0,False,
"Acer Nitro V 15.6"" Laptop i5-13420H 16GB RAM 512GB SSD 8GB RTX 5050 RefurbishedOpens in a new window or tab",69999,Certified - Refurbished ·Acer,0,True,168
HP Laptop Computer PC Workstation Gaming Core I7 32GB 1TB Windows 11 PRO OFFICE!Opens in a new window or tab,25999,Microsoft Office 2021 - One Year Warranty - HDMI - USBC,0,False,
"MSI Katana 15 HX B14WEK-001US 15.6"" Gaming Laptop i7-14650HX 5050 16GB 512GBOpens in a new window or tab",79900,2-Year Extended Warranty Serviced by Allstate,0,True,203
"Lenovo 15.3"" FHD+ Laptop Computer, Intel 8-Core i5-13420H, 16GB DDR4 RAM, 512GBOpens in a new window or tab",22000,Brand New ·Lenovo ·512 GB,0,False,
"Lenovo ThinkPad T480 14"" HD i5 8250u 16GB 256gb NVME WIFI CAM WIN 11 PRO laptopOpens in a new window or tab",29999,Excellent - Refurbished ·Lenovo ·256 GB,0,True,1240
"Acer Aspire 15.6"" FHD i7-1255U 16GB 512GB SSD Iris Xe Win11 LaptopOpens in a new window or tab",25699,Brand New ·Acer ·512 GB,0,False,
"RNRUO 15.6"" Windows 11 Laptop, Dual 8GB RAM, 256GB SSD, AMD 3020e with 2 Cores uOpens in a new window or tab",15400,Brand New ·AMD,0,False,
"14"" Lenovo ThinkPad Laptop PC: 16GB RAM! 256GB SSD! Intel i5! Zorin Core EditionOpens in a new window or tab",14000,Stop Planned Obsolescence! Try risk free for 30 days!,0,True,401
2026 HP Laptop Notebook 15.6 Touch Office 2024 AMD Ryzen 5 8GB RAM 512GB SSD ProOpens in a new window or tab,38900,✅Pro+Lifetime Office 2024 ✅Touchscreen ✅ Al Copilot,0,True,
"Dell Latitude 5420 14"" Touch Laptop i5-1145G7 16GB RAM 256GB SSD Windows 11 ProOpens in a new window or tab",19895,Pre-Owned ·Dell ·256 GB,0,False,443
"Acer Swift Go 14"" AI Laptop Qualcomm Snapdragon X+ 16GB RAM 1TB SSD RefurbishedOpens in a new window or tab",45999,Certified - Refurbished ·Acer,0,True,
"Dell Latitude 7490 14"" Laptop i5 8th Gen 128GB SSD 16GB RAM Win 11 Pro (CI)Opens in a new window or tab",16995,Very Good - Refurbished ·Dell,0,True,
"HP 15-FD0083WM 15.6"" HD Pentium N200 1.8GHz Intel UHD Graphics 4GB RAM 128GB SSDOpens in a new window or tab",12950,Win 11 Home Scarlet Red,0,True,1645
Dell Chromebook 3100 2in1 Touch Screen Intel Celeron 4GB RAM 32GB Touchscreen !!Opens in a new window or tab,4628,INCLUDES CHARGER!!! COMPLETE - OEM - TESTED WORKING,0,False,563
"Dell Touchscreen Chromebook 3100 11"" Celeron 1.1GHz/4GB/32GB P30T001 w/WarrantyOpens in a new window or tab",5900,Good - Refurbished ·Dell,0,True,1158
"14"" DELL Latitude Laptop: Intel i5! 8GB RAM! 256GB SSD! Zorin Core Edition!Opens in a new window or tab",13000,Stop Planned Obsolescence w Zorin OS! 1 Year Warranty!,0,True,394
Dell Latitude 5420 14” FHD Intel i5 11th Gen 16GB RAM 512GB NVMe SSD Windows 11Opens in a new window or tab,26648,Good - Refurbished ·Dell,0,True,187
Dell Latitude 7390 Laptop 13.3” Core i7 16GB RAM 256GB SSD Windows 11 Pro HDMIOpens in a new window or tab,26850,Very Good - Refurbished ·Dell,0,True,311
Dell Latitude 14 Rugged 7424 Laptop  i5-8350U 16GB 1TB ORANGE TOUCH  IP 65 RATEDOpens in a new window or tab,84444,EXCELLENT CONDITION  WIN 11,84444,False,
"Dell Latitude 14"" FHD Laptop Quad-Core i7 4.2GHz 16GB RAM 256GB SSD Windows 11Opens in a new window or tab",25562,Very Good - Refurbished ·Dell,0,True,194
"15.6"" DELL Latitude Laptop: i7-8650U (16GB RAM - 256GB NVME SSD) Windows 11 ProOpens in a new window or tab",32438,Backlit Keyboard! Windows 11 Pro! 1920 x 1080P,0,True,636
Dell Latitude Laptop 14” Intel Core i5 16GB RAM 256GB SSD Windows 11 WiFi HDMIOpens in a new window or tab,23792,Good - Refurbished ·Dell,0,True,217
"14"" Lenovo ThinkPad Laptop: Intel i5! 16GB RAM - 512GB SSD! Webcam! Zorin O.S!Opens in a new window or tab",16153,Stop Planned Obsolescence w Zorin OS! 1 Year Warranty!,0,True,197
"NIMO 15.6"" FHD Ryzen 7 7735HS 16GB 1TB SSD Radeon 680M Gaming LaptopOpens in a new window or tab",20000,Brand New ·1 TB,0,False,
ASUS - Zenbook S 16 163K OLED Touch Screen Laptop - Copilot+ PC - AMD Ryzen...Opens in a new window or tab,,Brand New ·ASUS,0,False,303
"Dell Chromebook 3100 (11.6"", Intel Celeron, 4GB RAM, 16GB, ChromeOS)  NO ChargerOpens in a new window or tab",2599,Pre-Owned ·Dell,0,False,922
"2026 15.6 inch Laptop 16GB+512GB Windows 11 Computers  WiFi, Bluetooth, Type-COpens in a new window or tab",22900,Brand New,0,True,
New ListingSONY VAIO Type P VGN-P70H Intel Atom Z520 HDD 60GB RAM 2GBOpens in a new window or tab,18000,Pre-Owned ·Sony ·60 GB,18000,False,
"NIMO 15.6"" FHD Ryzen 5 32GB RAM 1TB SSD Fingerprint Backlit Win11 LaptopOpens in a new window or tab",20000,Brand New ·532 GB,0,False,
"ACEMAGIC 15.6"" FHD Laptop Intel 12th Alder Lake N97 16GB RAM 512GB refurbishedOpens in a new window or tab",19999,Certified - Refurbished ·Acemagic,0,True,
"RNRUO 15.6"" Windows 11 Laptop, Dual 8GB RAM, 256GB SSD, AMD 3020e with 2 Cores uOpens in a new window or tab",15400,Brand New ·AMD,0,False,
"~OVERSTOCK SALE~ 15.6"" FHD DELL Laptop PC: i7-8665U (16GB RAM, 256GB NVME SSD)Opens in a new window or tab",32438,Windows 11 Pro! Backlit Keyboard! 1 Year Warranty,0,True,13
Dell Latitude 14 Rugged 7424 Laptop  i5-8350U 16GB 1TB BLACK TOUCH  IP 65 RATEDOpens in a new window or tab,84444,EXCELLENT CONDITION  WIN 11,84444,False,
"Microsoft Surface Laptop 7 - 13"" Snapdragon X Plus 256GB 16GB Silver - ExcellentOpens in a new window or tab",74399,Pre-Owned ·Microsoft ·256 GB,74399,False,
New ListingDell inspiron 15 3515 AMD Ryzen 5 3450U 2.10Ghz 8Gb 128Gb SSD 15.6 Charger Win11Opens in a new window or tab,13000,Pre-Owned ·Dell,0,False,
"HP OmniBook X AI 14-fe0013dx 14"" Touch Elite X1E-78-100 16GB 1TB SSD W11 LaptopOpens in a new window or tab",49399,Very Good - Refurbished ·HP,0,True,90
"Microsoft Surface Laptop 3, 13.5"" Touch, Intel i7, 16GB RAM, 256GB SSD - BlackOpens in a new window or tab",30999,Open Box ·Microsoft,0,True,154
"Dell Inspiron 15 15.6"" Touchscreen Laptop AMD Ryzen 7 7730U 16GB RAM 512GB SSDOpens in a new window or tab",40999,Open Box ·Dell ·512 GB,0,False,
"Acer Aspire 15.6"" FHD i7-1255U 16GB 512GB SSD Iris Xe Win11 LaptopOpens in a new window or tab",25699,Brand New ·Acer ·512 GB,0,False,
"Dell 14"" FHD Laptop Intel Quad Core i7 4.20GHz 32GB RAM 2TB SSD Windows 11 ProOpens in a new window or tab",24899,📦 Fast Shipping ✨ Customize RAM+SSD ⚡️ Plug and Play,0,True,
HP 15.6 Touchscreen Laptop Computer • 2026 Edition • Intel 13th Gen i3-1315U CPUOpens in a new window or tab,20000,Brand New,20000,False,
"HP Chromebook X360 11 G1 EE N3350 1.1ghz 4GB 32GB 11.6"" Touch 2-in-1 Laptop READOpens in a new window or tab",3800,Pre-Owned ·HP ·32 GB,0,False,133
